# Tres 2, OLT, 06.06.2013
# J.D.-2400000	rel_flux_T1	rel_flux_err_T1
56450.41373	1.502	0.0039
56450.41427	1.505	0.0039
56450.41482	1.519	0.0039
56450.41537	1.508	0.0038
56450.41592	1.506	0.0038
56450.41647	1.507	0.0037
56450.41703	1.503	0.0037
56450.41757	1.511	0.0037
56450.41812	1.509	0.0038
56450.41866	1.495	0.0037
56450.41921	1.506	0.0036
56450.41975	1.504	0.0037
56450.42031	1.509	0.0037
56450.42086	1.509	0.0036
56450.42142	1.504	0.0036
56450.42196	1.517	0.0036
56450.42252	1.498	0.0036
56450.42307	1.513	0.0035
56450.42363	1.505	0.0035
56450.42418	1.508	0.0035
56450.42473	1.503	0.0035
56450.42527	1.514	0.0035
56450.42583	1.505	0.0035
56450.42638	1.512	0.0034
56450.42694	1.503	0.0035
56450.42749	1.506	0.0034
56450.42804	1.509	0.0034
56450.42858	1.502	0.0035
56450.42912	1.51	0.0035
56450.42967	1.504	0.0038
56450.43022	1.51	0.0039
56450.43078	1.508	0.0038
56450.43134	1.504	0.0038
56450.43188	1.521	0.0038
56450.43242	1.516	0.0036
56450.43298	1.511	0.0033
56450.43353	1.513	0.0034
56450.43409	1.508	0.0033
56450.43464	1.509	0.0034
56450.43519	1.51	0.0033
56450.43573	1.514	0.0033
56450.43629	1.512	0.0033
56450.43684	1.51	0.0033
56450.4374	1.518	0.0034
56450.43794	1.504	0.0034
56450.4385	1.509	0.0034
56450.43905	1.507	0.0033
56450.43961	1.511	0.0033
56450.44015	1.512	0.0033
56450.44071	1.506	0.0033
56450.44126	1.518	0.0032
56450.44182	1.512	0.0034
56450.44238	1.514	0.0034
56450.44293	1.511	0.0033
56450.44349	1.51	0.0032
56450.44404	1.515	0.0033
56450.44459	1.508	0.0034
56450.44513	1.507	0.0035
56450.44569	1.507	0.0034
56450.44624	1.518	0.0035
56450.4468	1.507	0.0035
56450.44734	1.507	0.0037
56450.44789	1.505	0.0039
56450.44844	1.512	0.0038
56450.449	1.503	0.0038
56450.44955	1.513	0.0039
56450.45011	1.515	0.0042
56450.45066	1.508	0.004
56450.45122	1.503	0.0038
56450.45177	1.497	0.0035
56450.45233	1.506	0.0036
56450.45289	1.498	0.0036
56450.45344	1.504	0.0036
56450.454	1.509	0.0037
56450.45454	1.5	0.0034
56450.4551	1.505	0.0035
56450.45565	1.495	0.0036
56450.4562	1.502	0.0036
56450.45674	1.501	0.0035
56450.4573	1.5	0.0034
56450.45785	1.49	0.0035
56450.45841	1.502	0.0036
56450.45896	1.499	0.004
56450.45952	1.495	0.0037
56450.46007	1.498	0.0035
56450.46062	1.498	0.0035
56450.46116	1.502	0.0035
56450.46172	1.488	0.0032
56450.46227	1.494	0.0031
56450.46283	1.493	0.0031
56450.46337	1.491	0.0031
56450.46392	1.488	0.003
56450.46446	1.487	0.003
56450.46502	1.491	0.0031
56450.46557	1.487	0.0031
56450.46613	1.489	0.0031
56450.46668	1.494	0.0031
56450.46723	1.493	0.0032
56450.46777	1.493	0.0032
56450.46833	1.49	0.0031
56450.46888	1.489	0.0031
56450.46944	1.493	0.0031
56450.46998	1.491	0.0031
56450.47053	1.49	0.0031
56450.47107	1.492	0.003
56450.47161	1.488	0.003
56450.47217	1.469	0.003
56450.47272	1.485	0.003
56450.47328	1.484	0.003
56450.47384	1.486	0.0029
56450.47438	1.49	0.0029
56450.47492	1.486	0.0029
56450.47548	1.493	0.0028
56450.47604	1.488	0.0029
56450.47659	1.491	0.0029
56450.47714	1.49	0.0029
56450.47769	1.485	0.0029
56450.47824	1.492	0.0028
56450.4788	1.486	0.0028
56450.47935	1.488	0.0028
56450.4799	1.492	0.0029
56450.48044	1.493	0.0029
56450.48099	1.487	0.0028
56450.48154	1.489	0.0028
56450.4821	1.486	0.0029
56450.48265	1.485	0.0028
56450.48321	1.487	0.0029
56450.48375	1.482	0.0029
56450.4843	1.49	0.0028
56450.48485	1.489	0.0029
56450.48541	1.493	0.0029
56450.48596	1.486	0.0029
56450.48652	1.486	0.0029
56450.48706	1.491	0.0028
56450.48762	1.491	0.0029
56450.48816	1.49	0.0028
56450.48871	1.485	0.0028
56450.48926	1.487	0.0029
56450.48982	1.494	0.0028
56450.49037	1.49	0.0029
56450.49092	1.494	0.0029
56450.49146	1.491	0.0028
56450.49201	1.489	0.0029
56450.49255	1.495	0.0028
56450.49311	1.49	0.0029
56450.49365	1.492	0.0029
56450.49421	1.486	0.0028
56450.49476	1.497	0.0029
56450.49532	1.489	0.0028
56450.49587	1.49	0.0028
56450.49643	1.507	0.0028
56450.49698	1.498	0.0028
56450.49754	1.494	0.0028
56450.4981	1.492	0.0029
56450.49865	1.491	0.0028
56450.49921	1.491	0.0028
56450.49976	1.495	0.0029
56450.50032	1.489	0.0028
56450.50087	1.488	0.003
56450.50142	1.493	0.0029
56450.50197	1.501	0.0029
56450.50253	1.498	0.0028
56450.50308	1.496	0.003
56450.50364	1.491	0.0029
56450.50419	1.495	0.003
56450.50475	1.497	0.0028
56450.50531	1.498	0.0029
56450.50586	1.495	0.0029
56450.50642	1.501	0.0029
56450.50696	1.499	0.0029
56450.5075	1.499	0.0029
56450.50806	1.505	0.0028
56450.50862	1.497	0.003
56450.50917	1.497	0.0029
56450.50973	1.498	0.0029
56450.51027	1.486	0.003
56450.51083	1.503	0.0029
56450.51138	1.493	0.0029
56450.51194	1.503	0.003
56450.51249	1.503	0.0029
56450.51304	1.506	0.0029
56450.51359	1.507	0.003
56450.51415	1.506	0.003
56450.5147	1.512	0.0029
56450.51526	1.514	0.0029
56450.5158	1.508	0.0029
56450.51636	1.508	0.003
56450.51691	1.51	0.003
56450.51747	1.513	0.0029
56450.51802	1.511	0.003
56450.51857	1.513	0.003
56450.51912	1.51	0.0029
56450.51967	1.495	0.0031
56450.52022	1.503	0.003
56450.52078	1.519	0.0029
56450.52132	1.504	0.0031
56450.52188	1.512	0.003
56450.52244	1.513	0.003
56450.52299	1.52	0.003
56450.52354	1.506	0.003
56450.52409	1.512	0.003
56450.52465	1.508	0.003
56450.5252	1.508	0.003
56450.52575	1.507	0.003
56450.52629	1.509	0.003
56450.52683	1.524	0.0032
56450.52739	1.502	0.0031
56450.52795	1.513	0.0031
56450.5285	1.508	0.0031
56450.52906	1.516	0.003
56450.52961	1.51	0.0031
56450.53016	1.51	0.0031
56450.53071	1.508	0.0031
56450.53127	1.506	0.0031
56450.53182	1.511	0.0031
56450.53237	1.509	0.0032
56450.53291	1.514	0.0032
56450.53345	1.513	0.0033
56450.53401	1.514	0.0032
56450.53455	1.506	0.0031
56450.5351	1.506	0.0034
56450.53565	1.513	0.0032
56450.53621	1.513	0.0033
56450.53676	1.51	0.0034
56450.53732	1.507	0.0034
56450.53787	1.517	0.0034
56450.53843	1.51	0.0034
56450.53899	1.511	0.0034
56450.53954	1.513	0.0034
56450.5401	1.512	0.0034
56450.54065	1.507	0.0036
56450.54121	1.506	0.0038
56450.54177	1.501	0.0037
56450.54232	1.511	0.0036
56450.54286	1.51	0.0037
56450.54342	1.512	0.0036
56450.54397	1.515	0.0038
56450.54452	1.505	0.0037
56450.54508	1.512	0.0038
56450.54563	1.501	0.0037
56450.54619	1.501	0.004
56450.54674	1.515	0.0038
56450.5473	1.506	0.004
56450.54784	1.511	0.0039
56450.54839	1.513	0.004
56450.54894	1.51	0.0042
56450.5495	1.507	0.004
