wavelength,counts
339,1.17E+03
339.5,1.13E+03
340,1.11E+03
340.5,1.13E+03
341,1.17E+03
341.5,1.20E+03
342,1.14E+03
342.5,1.13E+03
343,1.14E+03
343.5,1.14E+03
344,1.14E+03
344.5,1.16E+03
345,1.19E+03
345.5,1.23E+03
346,1.29E+03
346.5,1.35E+03
347,1.42E+03
347.5,1.48E+03
348,1.52E+03
348.5,1.52E+03
349,1.51E+03
349.5,1.49E+03
350,1.48E+03
350.5,1.47E+03
351,1.45E+03
351.5,1.43E+03
352,1.42E+03
352.5,1.43E+03
353,1.45E+03
353.5,1.44E+03
354,1.43E+03
354.5,1.40E+03
355,1.38E+03
355.5,1.38E+03
356,1.38E+03
356.5,1.42E+03
357,1.48E+03
357.5,1.50E+03
358,1.58E+03
358.5,1.57E+03
359,1.56E+03
359.5,1.50E+03
360,1.42E+03
360.5,1.39E+03
361,1.38E+03
361.5,1.39E+03
362,1.39E+03
362.5,1.39E+03
363,1.38E+03
363.5,1.38E+03
364,1.37E+03
364.5,1.37E+03
365,1.37E+03
365.5,1.38E+03
366,1.40E+03
366.5,1.40E+03
367,1.40E+03
367.5,1.40E+03
368,1.40E+03
368.5,1.40E+03
369,1.39E+03
369.5,1.38E+03
370,1.39E+03
370.5,1.41E+03
371,1.41E+03
371.5,1.41E+03
372,1.40E+03
372.5,1.41E+03
373,1.43E+03
373.5,1.44E+03
374,1.43E+03
374.5,1.43E+03
375,1.43E+03
375.5,1.45E+03
376,1.45E+03
376.5,1.45E+03
377,1.45E+03
377.5,1.47E+03
378,1.49E+03
378.5,1.51E+03
379,1.55E+03
379.5,1.57E+03
380,1.60E+03
380.5,1.64E+03
381,1.67E+03
381.5,1.70E+03
382,1.71E+03
382.5,1.74E+03
383,1.79E+03
383.5,1.86E+03
384,1.93E+03
384.5,2.00E+03
385,2.13E+03
385.5,2.23E+03
386,2.32E+03
386.5,2.37E+03
387,2.41E+03
387.5,2.50E+03
388,2.60E+03
388.5,2.72E+03
389,2.87E+03
389.5,2.99E+03
390,3.07E+03
390.5,3.10E+03
391,3.08E+03
391.5,3.05E+03
392,3.02E+03
392.5,3.02E+03
393,3.11E+03
393.5,3.22E+03
394,3.36E+03
394.5,3.45E+03
395,3.51E+03
395.5,3.56E+03
396,3.62E+03
396.5,3.76E+03
397,3.98E+03
397.5,4.29E+03
398,4.59E+03
398.5,4.90E+03
399,5.11E+03
399.5,5.27E+03
400,5.39E+03
400.5,5.44E+03
401,5.50E+03
401.5,5.54E+03
402,5.57E+03
402.5,5.61E+03
403,5.62E+03
403.5,5.61E+03
404,5.60E+03
404.5,5.58E+03
405,5.58E+03
405.5,5.57E+03
406,5.54E+03
406.5,5.54E+03
407,5.59E+03
407.5,5.68E+03
408,5.80E+03
408.5,5.89E+03
409,5.97E+03
409.5,6.02E+03
410,6.06E+03
410.5,6.12E+03
411,6.23E+03
411.5,6.33E+03
412,6.41E+03
412.5,6.43E+03
413,6.44E+03
413.5,6.48E+03
414,6.51E+03
414.5,6.53E+03
415,6.53E+03
415.5,6.51E+03
416,6.52E+03
416.5,6.53E+03
417,6.54E+03
417.5,6.55E+03
418,6.54E+03
418.5,6.56E+03
419,6.59E+03
419.5,6.61E+03
420,6.64E+03
420.5,6.72E+03
421,6.78E+03
421.5,6.79E+03
422,6.77E+03
422.5,6.70E+03
423,6.67E+03
423.5,6.68E+03
424,6.71E+03
424.5,6.72E+03
425,6.73E+03
425.5,6.73E+03
426,6.71E+03
426.5,6.68E+03
427,6.62E+03
427.5,6.54E+03
428,6.44E+03
428.5,6.38E+03
429,6.33E+03
429.5,6.28E+03
430,6.26E+03
430.5,6.28E+03
431,6.40E+03
431.5,6.60E+03
432,6.79E+03
432.5,6.95E+03
433,7.08E+03
433.5,7.22E+03
434,7.32E+03
434.5,7.39E+03
435,7.43E+03
435.5,7.51E+03
436,7.57E+03
436.5,7.61E+03
437,7.59E+03
437.5,7.50E+03
438,7.45E+03
438.5,7.46E+03
439,7.57E+03
439.5,7.70E+03
440,7.83E+03
440.5,7.90E+03
441,7.95E+03
441.5,8.04E+03
442,8.13E+03
442.5,8.20E+03
443,8.26E+03
443.5,8.29E+03
444,8.31E+03
444.5,8.33E+03
445,8.33E+03
445.5,8.34E+03
446,8.40E+03
446.5,8.48E+03
447,8.61E+03
447.5,8.77E+03
448,8.91E+03
448.5,9.07E+03
449,9.17E+03
449.5,9.25E+03
450,9.34E+03
450.5,9.39E+03
451,9.37E+03
451.5,9.28E+03
452,9.15E+03
452.5,9.04E+03
453,9.04E+03
453.5,9.12E+03
454,9.20E+03
454.5,9.30E+03
455,9.33E+03
455.5,9.38E+03
456,9.42E+03
456.5,9.43E+03
457,9.45E+03
457.5,9.44E+03
458,9.43E+03
458.5,9.45E+03
459,9.47E+03
459.5,9.51E+03
460,9.58E+03
